id,text,label,source,platform_type,language,date_collected
UG_TRUE_201,Ekitike's Quickfire Brace Flips Liverpool's Clash with Newcastle.,TRUE,X News,English,2026-01-31,
UG_TRUE_202,Ronaldo Hits 961st Goal in Al Nassr's 3-0 Rout of Al Kholood.,TRUE,X News,English,2026-01-31,
UG_TRUE_203,"Minister Muyingo’s Seeta Junior gets 56 fours as Kabojja, Greenhill, Hillside, Kampala Parents score none.",TRUE,Bbeg Media,English,2026-02-02,
UG_TRUE_204,"High Prices, Low Turnout Mark Back-to-School Rush in Kampala",TRUE,Nile Post,English,2026-02-09,
UG_TRUE_205,Auditor General Slams Pornography Control Committee Over Lack of Transparency.,TRUE,Nile Post,English,2026-02-09,
UG_TRUE_206,"Uganda's Economy Shows Resilience Amid Global Challenges, Says Finance Minister.",TRUE,Nile Post,English,2026-02-09,
UG_TRUE_207,Kyagulanyi is the 'Salt and Light of the Earth' - Balimwezo.,TRUE,Nile Post,English,2026-02-09,
UG_TRUE_208,MP Nsibambi Defends Disconnecting Village From 'My Transformer' After Election Loss.,TRUE,Nile Post,English,2026-02-09,
UG_TRUE_209,Ugandan Pastor Tells US Court He Was Tortured With a Python.,TRUE,Nile Post,English,2026-02-09,
UG_TRUE_210,Minister Kyofatogabye Hails Balimwezo’s Election as End of Kampala’s Frustration.,TRUE,Nile Post,English,2026-02-09,
UG_TRUE_211,NIRA Admits QR Codes on National IDs Not Yet Activated.,TRUE,Nile Post,English,2026-02-09,
UG_TRUE_212,Six Ugandans Detained in US Listed in 'Worst of Worst' ICE Database.,TRUE,Nile Post,English,2026-02-09,
UG_TRUE_213,"Tabaro Urges Dialogue, Warns NUP Against Extremism After Museveni–Opposition Talks.",TRUE,Nile Post,English,2026-02-09,
UG_TRUE_214,Four Arrested for Fraud Impersonating Museveni’s Daughter.,TRUE,Nile Post,English,2026-02-09,
UG_TRUE_215,Calls Grow for Independent Probe into 2025 PLE Results.,TRUE,Nile Post,English,2026-02-09,
UG_TRUE_216,Sembabule Land Row Escalates as Displaced Residents Return After Three Years.,TRUE,Nile Post,English,2026-02-09,
UG_TRUE_217,Eritrea’s Andemariam Elected Cecafa President After Magogo Withdraws.,TRUE,Nile Post,English,2026-02-09,
UG_TRUE_218,"Kenya’s Karua, African Women Leaders Condemn ‘Victimisation’ of Ugandan Women.",TRUE,Nile Post,English,2026-02-09,
UG_TRUE_219,"Spice Diana, John Blaq, Lydia Jazmine and Levixone to Light Up Comedy Store Valentine’s Special.",TRUE,Nile Post,English,2026-02-09,
UG_TRUE_220,Bad Bunny makes history as Trump criticises 'terrible' Super Bowl show.,TRUE,Nile Post,English,2026-02-09,
UG_TRUE_221,Kamuli Honours Kadaga as NRM Sweeps Local Elections.,TRUE,Nile Post,English,2026-02-09,
UG_TRUE_222,"Ruto Dismisses Azimio Revitalisation, Defends Nairobi Development Agenda.",TRUE,Nile Post,English,2026-02-09,
UG_TRUE_223,Gen Muhoozi Awarded With Second Highest Honour in Uganda’s Military.,TRUE,Nile Post,English,2026-02-07,
UG_TRUE_224,"Police Hunt for Thugs who Broke into Kampala Hotel, Killed Manager, Security Guard.",TRUE,Nile Post,English,2026-02-07,
UG_TRUE_225,Russia names three suspects over shooting of general.,TRUE,Nile Post,English,2026-02-07,
UG_TRUE_226,Uganda Clinches Best Exquisite Destination Award at Outbound Travel Mart 2026 in India.,TRUE,Nile Post,English,2026-02-07,
UG_TRUE_227,Man named in South Africa's police corruption probe found dead.,TRUE,Nile Post,English,2026-02-07,
UG_TRUE_228,"South Ankole Diocese Marks 14 Years, Commissions 80 Lay Readers.",TRUE,Nile Post,English,2026-02-07
UG_TRUE_229,Can Kampala Be Clean Without Killing Livelihoods?.,TRUE,Nile Post,English,2026-02-07
UG_TRUE_230,"Ecweru Praises Progress on Katonga Roads, Assures Public of Imminent Reopening.",TRUE,Nile Post,English,2026-02-07,
UG_TRUE_231,Police Impound Taxi Linked to Highway Robberies.,TRUE,Nile Post,English,2026-02-07
UG_TRUE_232,Big Interview: Resilience and persistence propelled me to defeat Basalirwa in Bugiri Municipality race – NRM’s Oketcho.,TRUE,Nile Post,English,2026-02-07,
