id,text,label,source,platform_type,language,date_collected,text_length
UG_TRUE_001,The Ministry of Health confirms no outbreak of Ebola in Kampala.,TRUE,Daily Monitor,News Website,English,2025-01-10,11
UG_FAKE_001,Drinking hot water every 15 minutes kills COVID-19 virus in the body.,FAKE,AfricaCheck,Fact-Check,English,2025-01-10,12
UG_FAKE_002,Government has approved free electricity for all Ugandans starting next month.,FAKE,PesaCheck,Fact-Check,English,2025-01-11,11
UG_TRUE_002,Parliament passes new amendment to the National ID registration law.,TRUE,New Vision,News Website,English,2025-01-11,10
UG_TRUE_003,Museveni alisema hakuna lockdown tena nchini Uganda.,TRUE,BBC Africa,News Website,Mixed,2025-01-12,7
UG_FAKE_003,"No, video does not show US troops arriving in Uganda to assist 2026 election campaigns.",FAKE,AFP Fact Check,Fact-Check,English,2025-19-12,15
UG_TRUE_004,Uganda to host the 2025 Africa Cup of Nations.,TRUE,CNN,News Website,English,2025-01-13,9
UG_FAKE_004,Eating garlic prevents malaria infection.,FAKE,HealthLine,Fact-Check,English,2025-01-13,5
UG_TRUE_005,Waziri wa Afya atangaza kampeni ya chanjo ya sura ya matumbo kuanzia mwezi ujao.,TRUE,VOA Swahili,News Website,Mixed,2025-01-14,14
UG_TRUE_006,No evidence that 5G technology spreads COVID-19 virus.,TRUE,Reuters,News Website,English,2025-01-14,8
UG_TRUE_007,Uganda's economy grows by 6% in the last quarter.,TRUE,The East African,News Website,English,2025-01-15,9
UG_FAKE_004,Front page of Ugandan daily New Vision calling president Yoweri Museveni the ‘worst dictator’ is fake.,FAKE,AfricaCheck,Fact-Check,English,2025-07-15,16
UG_TRUE_008,Uganda bans single-use plastics to combat environmental pollution.,TRUE,Daily Monitor,News Website,English,2025-01-16,8
UG_FAKE_005,NTV Uganda ‘tweet’ apologising for announcing ‘fake’ election results is – fake.,FAKE,AfricaCheck,Fact-Check,English,2021-02-10,12
UG_FAKE_006,"No, Ugandan health ministry did not raise alarm about quarantined Covid-19 patients having sex.",FAKE,AfricaCheck,Fact-Check,English,2020-04-22,14
UG_FAKE_007,Manipulated video shows US president Trump urging Ugandans not to forgive president Museveni until he resigns.,FAKE,AfricaCheck,Fact-Check,English,2025-10-21,16
UG_FAKE_008,"No, photo of Ugandan police officer with ballot box from 2016, not 2021 elections.",FAKE,AfricaCheck,Fact-Check,English,2021-01-25,14
UG_FAKE_009,Viral video of president Yoweri Museveni saying Ugandans will never vote for opposition leader Bobi Wine fabricated.,FAKE,AfricaCheck,Fact-Check,English,2025-12-19,17
UG_FAKE_010,"Fake tweet claims Ugandan car owners will be fined for not driving twice a week, but no such law exists.",FAKE,AfricaCheck,Fact-Check,English,2025-07-04,20
UG_FAKE_011,"No, tweet saying Ugandan police will arrest women who turn down men and promote homosexuality is fake.",FAKE,AfricaCheck,Fact-Check,English,2023-03-09,17
UG_FAKE_012,"No, the UK hasn't blocked Uganda Airlines' direct flights to London Gatwick airport.",FAKE,AfricaCheck,Fact-Check,English,2025-03-31,13
UG_FAKE_013,Front page of Ugandan daily New Vision calling president Yoweri Museveni the ‘worst dictator’ is fake.,FAKE,AfricaCheck,Fact-Check,English,2025-07-02,16
UG_FAKE_014,NTV Uganda ‘tweet’ apologising for announcing ‘fake’ election results is – fake.,FAKE,AfricaCheck,Fact-Check,English,2021-02-10,12
UG_FAKE_015,No CNN report on ‘pressure’ for Ugandan president Museveni to change name.,FAKE,AfricaCheck,Fact-Check,English,2020-10-16,12
UG_FAKE_016,Disregard fake Sunday Monitor front page headlined ‘Saleh spends billions to stop Kyagulanyi in Gulu’,FAKE,AfricaCheck,Fact-Check,English,2025-12-15,15
UG_FAKE_017,Ignore fake newspaper page claiming Ugandan opposition leader Bobi Wine plans to lose 2026 elections.,FAKE,AfricaCheck,Fact-Check,English,2025-10-16,15
UG_FAKE_018,"Report alleging opposition-led plot to overthrow Ugandan government is fake, says country’s army.",FAKE,AfricaCheck,Fact-Check,English,2024-08-23,13
UG_FAKE_019,"No, Ugandan police didn’t tweet that president Museveni’s academic documents were destroyed in fire.",FAKE,AfricaCheck,Fact-Check,English,2020-09-30,14
UG_FAKE_020,Ugandan opposition politician Zahara Luyirika didn’t endorse president Museveni – viral image doctored.,FAKE,AfricaCheck,Fact-Check,English,2025-11-18,13
UG_FAKE_021,"No, Ugandan sheikh not being charged by police for refusing to hold president’s portrait.",FAKE,AfricaCheck,Fact-Check,English,2020-10-3,14
UG_FAKE_022,"No, Ugandan president Museveni didn’t announce military reshuffle on Twitter.",FAKE,AfricaCheck,Fact-Check,English,2020-06-22,10
