id,text,label,source,platform_type,language,date_collected,text_length,clean_text,label_encoded
UG_TRUE_001,The Ministry of Health confirms no outbreak of Ebola in Kampala.,TRUE,Daily Monitor,News Website,English,2025-01-10,11,ministry health confirms outbreak ebola kampala,1
UG_FAKE_001,Drinking hot water every 15 minutes kills COVID-19 virus in the body.,FAKE,AfricaCheck,Fact-Check,English,2025-01-10,12,drinking hot water every 15 minutes kills covid19 virus body,0
UG_FAKE_002,Government has approved free electricity for all Ugandans starting next month.,FAKE,PesaCheck,Fact-Check,English,2025-01-11,11,government approved free electricity ugandans starting next month,0
UG_TRUE_002,Parliament passes new amendment to the National ID registration law.,TRUE,New Vision,News Website,English,2025-01-11,10,parliament passes new amendment national id registration law,1
UG_TRUE_003,Museveni alisema hakuna lockdown tena nchini Uganda.,TRUE,BBC Africa,News Website,Mixed,2025-01-12,7,museveni alisema hakuna lockdown tena nchini uganda,1
UG_FAKE_003,"No, video does not show US troops arriving in Uganda to assist 2026 election campaigns.",FAKE,AFP Fact Check,Fact-Check,English,2025-19-12,15,video show us troops arriving uganda assist 2026 election campaigns,0
UG_TRUE_004,Uganda to host the 2025 Africa Cup of Nations.,TRUE,CNN,News Website,English,2025-01-13,9,uganda host 2025 africa cup nations,1
UG_FAKE_004,Eating garlic prevents malaria infection.,FAKE,HealthLine,Fact-Check,English,2025-01-13,5,eating garlic prevents malaria infection,0
UG_TRUE_005,Waziri wa Afya atangaza kampeni ya chanjo ya sura ya matumbo kuanzia mwezi ujao.,TRUE,VOA Swahili,News Website,Mixed,2025-01-14,14,waziri wa afya atangaza kampeni ya chanjo ya sura ya matumbo kuanzia mwezi ujao,1
UG_TRUE_006,No evidence that 5G technology spreads COVID-19 virus.,TRUE,Reuters,News Website,English,2025-01-14,8,evidence 5g technology spreads covid19 virus,1
UG_TRUE_007,Uganda's economy grows by 6% in the last quarter.,TRUE,The East African,News Website,English,2025-01-15,9,ugandas economy grows 6 last quarter,1
UG_FAKE_004,Front page of Ugandan daily New Vision calling president Yoweri Museveni the ‘worst dictator’ is fake.,FAKE,AfricaCheck,Fact-Check,English,2025-07-15,16,front page ugandan daily new vision calling president yoweri museveni worst dictator fake,0
UG_TRUE_008,Uganda bans single-use plastics to combat environmental pollution.,TRUE,Daily Monitor,News Website,English,2025-01-16,8,uganda bans singleuse plastics combat environmental pollution,1
UG_FAKE_005,NTV Uganda ‘tweet’ apologising for announcing ‘fake’ election results is – fake.,FAKE,AfricaCheck,Fact-Check,English,2021-02-10,12,ntv uganda tweet apologising announcing fake election results fake,0
UG_FAKE_006,"No, Ugandan health ministry did not raise alarm about quarantined Covid-19 patients having sex.",FAKE,AfricaCheck,Fact-Check,English,2020-04-22,14,ugandan health ministry raise alarm quarantined covid19 patients sex,0
UG_FAKE_007,Manipulated video shows US president Trump urging Ugandans not to forgive president Museveni until he resigns.,FAKE,AfricaCheck,Fact-Check,English,2025-10-21,16,manipulated video shows us president trump urging ugandans forgive president museveni resigns,0
UG_FAKE_008,"No, photo of Ugandan police officer with ballot box from 2016, not 2021 elections.",FAKE,AfricaCheck,Fact-Check,English,2021-01-25,14,photo ugandan police officer ballot box 2016 2021 elections,0
UG_FAKE_009,Viral video of president Yoweri Museveni saying Ugandans will never vote for opposition leader Bobi Wine fabricated.,FAKE,AfricaCheck,Fact-Check,English,2025-12-19,17,viral video president yoweri museveni saying ugandans never vote opposition leader bobi wine fabricated,0
UG_FAKE_010,"Fake tweet claims Ugandan car owners will be fined for not driving twice a week, but no such law exists.",FAKE,AfricaCheck,Fact-Check,English,2025-07-04,20,fake tweet claims ugandan car owners fined driving twice week law exists,0
UG_FAKE_011,"No, tweet saying Ugandan police will arrest women who turn down men and promote homosexuality is fake.",FAKE,AfricaCheck,Fact-Check,English,2023-03-09,17,tweet saying ugandan police arrest women turn men promote homosexuality fake,0
UG_FAKE_012,"No, the UK hasn't blocked Uganda Airlines' direct flights to London Gatwick airport.",FAKE,AfricaCheck,Fact-Check,English,2025-03-31,13,uk hasnt blocked uganda airlines direct flights london gatwick airport,0
UG_FAKE_015,No CNN report on ‘pressure’ for Ugandan president Museveni to change name.,FAKE,AfricaCheck,Fact-Check,English,2020-10-16,12,cnn report pressure ugandan president museveni change name,0
UG_FAKE_016,Disregard fake Sunday Monitor front page headlined ‘Saleh spends billions to stop Kyagulanyi in Gulu’,FAKE,AfricaCheck,Fact-Check,English,2025-12-15,15,disregard fake sunday monitor front page headlined saleh spends billions stop kyagulanyi gulu,0
UG_FAKE_017,Ignore fake newspaper page claiming Ugandan opposition leader Bobi Wine plans to lose 2026 elections.,FAKE,AfricaCheck,Fact-Check,English,2025-10-16,15,ignore fake newspaper page claiming ugandan opposition leader bobi wine plans lose 2026 elections,0
UG_FAKE_018,"Report alleging opposition-led plot to overthrow Ugandan government is fake, says country’s army.",FAKE,AfricaCheck,Fact-Check,English,2024-08-23,13,report alleging oppositionled plot overthrow ugandan government fake says countrys army,0
UG_FAKE_019,"No, Ugandan police didn’t tweet that president Museveni’s academic documents were destroyed in fire.",FAKE,AfricaCheck,Fact-Check,English,2020-09-30,14,ugandan police didnt tweet president musevenis academic documents destroyed fire,0
UG_FAKE_020,Ugandan opposition politician Zahara Luyirika didn’t endorse president Museveni – viral image doctored.,FAKE,AfricaCheck,Fact-Check,English,2025-11-18,13,ugandan opposition politician zahara luyirika didnt endorse president museveni viral image doctored,0
UG_FAKE_021,"No, Ugandan sheikh not being charged by police for refusing to hold president’s portrait.",FAKE,AfricaCheck,Fact-Check,English,2020-10-3,14,ugandan sheikh charged police refusing hold presidents portrait,0
UG_FAKE_022,"No, Ugandan president Museveni didn’t announce military reshuffle on Twitter.",FAKE,AfricaCheck,Fact-Check,English,2020-06-22,10,ugandan president museveni didnt announce military reshuffle twitter,0
UG_FAKE_023,"No, Uganda Police Force not recruiting polling constables for 2026 election.",FAKE,AfricaCheck,Fact-Check,English,2025-10-24,11,uganda police force recruiting polling constables 2026 election,0
UG_FAKE_024,"No, Nigerian actor Genevieve Nnaji didn’t post Facebook endorsement of Bobi Wine for Uganda’s presidency.",FAKE,AfricaCheck,Fact-Check,English,2020-11-12,15,nigerian actor genevieve nnaji didnt post facebook endorsement bobi wine ugandas presidency,0
UG_FAKE_025,"No, Uganda’s deputy police spokesperson didn’t announce resignation on Twitter.",FAKE,AfricaCheck,Fact-Check,English,2020-12-01,10,ugandas deputy police spokesperson didnt announce resignation twitter,0
UG_FAKE_026,"No, Ugandan opposition leader Bobi Wine didn’t call for president Museveni’s assassination.",FAKE,AfricaCheck,Fact-Check,English,2020-08-15,12,ugandan opposition leader bobi wine didnt call president musevenis assassination,0
UG_FAKE_027,Viral letter FAKEly claims Ugandan politician Bosmic Otim was barred from ruling party elections due to fraud.,FAKE,AfricaCheck,Fact-Check,English,2025-08-14,17,viral letter fakely claims ugandan politician bosmic otim barred ruling party elections due fraud,0
UG_FAKE_028,NCBA Bank Uganda warns against fake job ads on social media.,FAKE,AfricaCheck,Fact-Check,English,2024-09-23,11,ncba bank uganda warns fake job ads social media,0
UG_FAKE_029,"Uganda’s finance ministry not giving free grants to entrepreneurs, farmers.",FAKE,AfricaCheck,Fact-Check,English,2020-07-16,10,ugandas finance ministry giving free grants entrepreneurs farmers,0
UG_FAKE_030,Ugandan army says circulating press release condemning human rights abuses is fake.,FAKE,AfricaCheck,Fact-Check,English,2024-08-13,12,ugandan army says circulating press release condemning human rights abuses fake,0
UG_FAKE_031,No evidence Ugandan president Yoweri Museveni is hospitalised or critically ill.,FAKE,AfricaCheck,Fact-Check,English,2025-10-22,11,evidence ugandan president yoweri museveni hospitalised critically ill,0
UG_FAKE_032,"Fake news, says Uganda's New Vision newspaper over school coupling nod claim.",FAKE,AfricaCheck,Fact-Check,English,2024-09-19,12,fake news says ugandas new vision newspaper school coupling nod claim,0
UG_FAKE_033,Beware! Fake Uganda deputy police spokesperson Twitter account at it again .,FAKE,AfricaCheck,Fact-Check,English,2021-01-08,12,beware fake uganda deputy police spokesperson twitter account,0
UG_TRUE_009,Uganda launches new initiative to improve access to clean water in rural areas.,TRUE,Daily Monitor,News Website,English,2025-01-17,13,uganda launches new initiative improve access clean water rural areas,1
UG_TRUE_010,Uganda's central bank maintains interest rates to support economic growth.,TRUE,New Vision,News Website,English,2025-01-18,10,ugandas central bank maintains interest rates support economic growth,1
UG_TRUE_011,Waziri wa Elimu atangaza mikakati mipya ya kuboresha elimu nchini Uganda.,TRUE,VOA Swahili,News Website,Mixed,2025-01-18,11,waziri wa elimu atangaza mikakati mipya ya kuboresha elimu nchini uganda,1
UG_TRUE_012,Uganda signs agreement to enhance regional trade with neighboring countries.,TRUE,CNN,News Website,English,2025-01-19,10,uganda signs agreement enhance regional trade neighboring countries,1
UG_TRUE_013,Uganda's tourism sector shows signs of recovery post-pandemic.,TRUE,BBC Africa,News Website,Mixed,2025-01-19,8,ugandas tourism sector shows signs recovery postpandemic,1
UG_TRUE_014,New infrastructure projects to boost connectivity in Uganda announced.,TRUE,The East African,News Website,English,2025-01-20,9,new infrastructure projects boost connectivity uganda announced,1
UG_TRUE_015,Uganda's agricultural exports increase significantly in the last fiscal year.,TRUE,Daily Monitor,News Website,English,2025-01-20,10,ugandas agricultural exports increase significantly last fiscal year,1
UG_TRUE_016,Uganda to implement new policies to support small and medium enterprises.,TRUE,New Vision,News Website,English,2025-01-21,11,uganda implement new policies support small medium enterprises,1
UG_TRUE_017,Waziri wa Afya atangaza hatua mpya za kupambana na magonjwa nchini Uganda.,TRUE,VOA Swahili,News Website,Mixed,2025-05-21,12,waziri wa afya atangaza hatua mpya za kupambana na magonjwa nchini uganda,1
UG_TRUE_018,Uganda collaborates with international partners to enhance healthcare services.,TRUE,CNN,News Website,English,2025-01-22,9,uganda collaborates international partners enhance healthcare services,1
UG_TRUE_019,Uganda's education sector adopts new technologies to improve learning outcomes.,TRUE,BBC Africa,News Website,English,2025-01-22,10,ugandas education sector adopts new technologies improve learning outcomes,1
UG_TRUE_020,Uganda's renewable energy initiatives gain momentum with new projects.,TRUE,The East African,News Website,English,2025-01-23,9,ugandas renewable energy initiatives gain momentum new projects,1
UG_TRUE_021,Uganda's government launches campaign to promote tourism in the country.,TRUE,Daily Monitor,News Website,English,2025-06-06,10,ugandas government launches campaign promote tourism country,1
UG_TRUE_022,Uganda's infrastructure development projects receive international funding.,TRUE,New Vision,News Website,English,2025-01-24,7,ugandas infrastructure development projects receive international funding,1
UG_FAKE_034,"No, Ugandan president Museveni didn’t declare war on social media platforms.",FAKE,AfricaCheck,Fact-Check,English,2025-04-12,11,ugandan president museveni didnt declare war social media platforms,0
UG_FAKE_035,"No, newspaper didn’t report that Ugandan presidential hopeful Bobi Wine spent millions on witchcraft.",FAKE,AfricaCheck,Fact-Check,English,2020-12-18,14,newspaper didnt report ugandan presidential hopeful bobi wine spent millions witchcraft,0
UG_FAKE_036,"No, Uganda’s state-owned electricity distributor is not hiring.",FAKE,AfricaCheck,Fact-Check,English,2025-03-03,8,ugandas stateowned electricity distributor hiring,0
UG_FAKE_037,"Uganda’s health ministry ‘discussing’ announcement of third Covid-19 death? No, Facebook post fake.",FAKE,AfricaCheck,Fact-Check,English,2020-07-31,13,ugandas health ministry discussing announcement third covid19 death facebook post fake,0
UG_FAKE_038,Ignore fake timetable for Uganda’s primary school exams circulating online.,FAKE,AfricaCheck,Fact-Check,English,2024-08-18,10,ignore fake timetable ugandas primary school exams circulating online,0
UG_FAKE_039,"No, Ugandan opposition leader Bobi Wine didn’t call for a general strike.",FAKE,AfricaCheck,Fact-Check,English,2025-04-15,12,ugandan opposition leader bobi wine didnt call general strike,0
UG_FAKE_040,"No, Ugandan minister didn’t announce free laptops for all students.",FAKE,AfricaCheck,Fact-Check,English,2025-02-20,10,ugandan minister didnt announce free laptops students,0
UG_FAKE_041,"No, Ugandan government didn’t ban social media platforms.",FAKE,AfricaCheck,Fact-Check,English,2025-03-15,8,ugandan government didnt ban social media platforms,0
UG_FAKE_042,"No, image not of Ugandan soldiers ‘slaughtering’ locusts.",FAKE,AfricaCheck,Fact-Check,English,2020-02-22,8,image ugandan soldiers slaughtering locusts,0
UG_FAKE_043,Ignore fake graphics claiming president Yoweri Museveni barred CNN journalist Larry Madowo from covering Uganda’s 2026 elections.,FAKE,AfricaCheck,Fact-Check,English,2025-12-17,17,ignore fake graphics claiming president yoweri museveni barred cnn journalist larry madowo covering ugandas 2026 elections,0
UG_FAKE_044,"Ugandan opposition party wins youth vote by landslide? No, headline fake.",FAKE,AfricaCheck,Fact-Check,English,2020-12-30,11,ugandan opposition party wins youth vote landslide headline fake,0
UG_FAKE_045,"No, president William Ruto didn’t hint at giving Kenya’s portion of the Indian Ocean to Uganda to prevent war.",FAKE,AfricaCheck,Fact-Check,English,2025-12-01,19,president william ruto didnt hint giving kenyas portion indian ocean uganda prevent war,0
UG_FAKE_046,"No, Ugandan president Museveni didn’t tweet announcement of his brother’s death.",FAKE,AfricaCheck,Fact-Check,English,2023-09-27,11,ugandan president museveni didnt tweet announcement brothers death,0
UG_FAKE_047,"No, Uganda’s police didn’t threaten to arrest people who don’t watch NBS TV.",FAKE,AfricaCheck,Fact-Check,English,2021-02-21,13,ugandas police didnt threaten arrest people dont watch nbs tv,0
UG_FAKE_048,Altered photo used to claim Ugandan opposition politician Mpuuga running for 2026 presidency.,FAKE,AfricaCheck,Fact-Check,English,2024-04-29,13,altered photo used claim ugandan opposition politician mpuuga running 2026 presidency,0
UG_FAKE_049,"Front page claiming ‘203 killed’ in Ugandan riots fake, says newspaper New Vision.",FAKE,AfricaCheck,Fact-Check,English,2020-11-24,13,front page claiming 203 killed ugandan riots fake says newspaper new vision,0
UG_FAKE_050,"No, Uganda’s NBS TV didn’t apologise for announcing ‘fake’ election results.",FAKE,AfricaCheck,Fact-Check,English,2021-02-05,11,ugandas nbs tv didnt apologise announcing fake election results,0
UG_TRUE_023,Uganda's government announces new measures to support farmers amid climate change challenges.,TRUE,Daily Monitor,News Website,English,2025-01-25,12,ugandas government announces new measures support farmers amid climate change challenges,1
UG_FAKE_051,Fake UN job ad targets Ugandans amid unemployment crisis.,FAKE,AfricaCheck,Fact-Check,English,2025-06-30,9,fake un job ad targets ugandans amid unemployment crisis,0
UG_FAKE_052,"No, Ugandan anti-graft unit not investigating official for misuse of public property.",FAKE,AfricaCheck,Fact-Check,English,2020-08-12,12,ugandan antigraft unit investigating official misuse public property,0
UG_FAKE_053,Uganda Red Cross doesn’t advertise jobs on Facebook – beware scam charging ‘registration fee’.,FAKE,AfricaCheck,Fact-Check,English,2020-03-20,14,uganda red cross doesnt advertise jobs facebook beware scam charging registration fee,0
UG_FAKE_054,"Motorists from Uganda and Tanzania crossing into Kenya for cheaper fuel? No, ignore fake graphic.",FAKE,AfricaCheck,Fact-Check,English,2024-03-20,15,motorists uganda tanzania crossing kenya cheaper fuel ignore fake graphic,0
UG_FAKE_055,Ugandan tabloid front page with headline about Kenya’s deputy president photoshopped.,FAKE,AfricaCheck,Fact-Check,English,2022-05-25,11,ugandan tabloid front page headline kenyas deputy president photoshopped,0
UG_TRUE_024,Uganda's government to invest in renewable energy projects to reduce carbon emissions.,TRUE,New Vision,News Website,English,2025-01-26,12,ugandas government invest renewable energy projects reduce carbon emissions,1
UG_FAKE_056,"Ugandan govt ‘to start killing youth’? No, newspaper front page manipulated.",FAKE,AfricaCheck,Fact-Check,English,2019-10-14,11,ugandan govt start killing youth newspaper front page manipulated,0
UG_FAKE_057,Photo of opposition leader Bobi Wine supporting Ugandan president Museveni doctored.,FAKE,AfricaCheck,Fact-Check,English,2021-01-01,11,photo opposition leader bobi wine supporting ugandan president museveni doctored,0
UG_FAKE_058,Kenyan police didn’t issue statement alleging immigrants were involved in violent street protests in Nairobi.,FAKE,AfricaCheck,Fact-Check,English,2025-07-09,15,kenyan police didnt issue statement alleging immigrants involved violent street protests nairobi,0
UG_FAKE_059,"Covid-19 funds stolen? No, front page of Uganda’s New Vision newspaper doctored.",FAKE,AfricaCheck,Fact-Check,English,2020-08-14,12,covid19 funds stolen front page ugandas new vision newspaper doctored,0
UG_FAKE_060,Scam! Botswana’s finance ministry not advertising business grants on Facebook.,FAKE,AfricaCheck,Fact-Check,English,2020-09-10,10,scam botswanas finance ministry advertising business grants facebook,0
UG_FAKE_061,Old photos used to FAKEly claim Ugandan opposition leader Bobi Wine was at president’s residency in 2025.,FAKE,AfricaCheck,Fact-Check,English,2025-11-19,17,old photos used fakely claim ugandan opposition leader bobi wine presidents residency 2025,0
UG_FAKE_062,"Beware of fake Ugandan hotel, resorts and lodges ‘gold list’ ranking.",FAKE,AfricaCheck,Fact-Check,English,2022-11-15,11,beware fake ugandan hotel resorts lodges gold list ranking,0
UG_FAKE_064,"Unresponsive Facebook public group 'Equity Bank Uganda' is fake, legitimate Equity Bank page is verified, won't contact you on WhatsApp.",FAKE,AfricaCheck,Fact-Check,English,2023-07-27,20,unresponsive facebook public group equity bank uganda fake legitimate equity bank page verified wont contact whatsapp,0
UG_FAKE_065,Ignore TikTok video claiming Marburg outbreak in Uganda and possible lockdowns.,FAKE,AfricaCheck,Fact-Check,English,2025-01-25,11,ignore tiktok video claiming marburg outbreak uganda possible lockdowns,0
UG_FAKE_066,"Ugandans, steer clear of Twitter account impersonating Stanbic bank Uganda.",FAKE,AfricaCheck,Fact-Check,English,2023-08-01,10,ugandans steer clear twitter account impersonating stanbic bank uganda,0
UG_FAKE_067,NUP spokesperson Waiswa Mufumbiro has not been released on bail,FAKE,PesaCheck,Fact-Check,English,2025-12-12,10,nup spokesperson waiswa mufumbiro released bail,0
UG_FAKE_068,This video of Bobi Wine commenting on the violence in Uganda is edited,FAKE,PesaCheck,Fact-Check,English,2025-11-26,13,video bobi wine commenting violence uganda edited,0
UG_FAKE_069,Kampala MP aspirant Abraham Luzzi is not dead.,FAKE,PesaCheck,Fact-Check,English,2025-02-15,8,kampala mp aspirant abraham luzzi dead,0
UG_FAKE_070,This purported President Museveni Christmas grant is fake,FAKE,PesaCheck,Fact-Check,English,2025-12-24,8,purported president museveni christmas grant fake,0
UG_FAKE_071,This image of a plane on the road wasn’t taken in Kenya,FAKE,PesaCheck,Fact-Check,English,2025-03-05,12,image plane road wasnt taken kenya,0
UG_FAKE_072,This video of Bobi Wine being arrested is from 2021,FAKE,PesaCheck,Fact-Check,English,2025-10-14,10,video bobi wine arrested 2021,0
UG_FAKE_073,There is no evidence that Ugandan opposition leader Bobi Wine has fled to the US,FAKE,PesaCheck,Fact-Check,English,2025-08-30,15,evidence ugandan opposition leader bobi wine fled us,0
UG_FAKE_074,This video of US President Trump commenting on electoral violence in Uganda is doctored. The original video is of Trump’s speech during his campaign in Wisconsin in 2016.,FAKE,PesaCheck,Fact-Check,English,2025-11-05,28,video us president trump commenting electoral violence uganda doctored original video trumps speech campaign wisconsin 2016,0
UG_FAKE_075,This video of Bobi Wine calling for the overthrow of the Ugandan government is fake,FAKE,PesaCheck,Fact-Check,English,2025-09-15,15,video bobi wine calling overthrow ugandan government fake,0
UG_TRUE_025,Uganda's government to launch nationwide digital literacy program for youth.,TRUE,Daily Monitor,News Website,English,2025-01-27,10,ugandas government launch nationwide digital literacy program youth,1
UG_FAKE_076,HOAX: This Shell Christmas promo is fake,FAKE,PesaCheck,Fact-Check,English,2025-12-20,7,hoax shell christmas promo fake,0
UG_FAKE_077,This video of Ugandan security forces shooting at protesters is from 2020,FAKE,PesaCheck,Fact-Check,English,2025-10-19,12,video ugandan security forces shooting protesters 2020,0
UG_FAKE_078,This video is not of businessman Ham Kiggundu speaking after traders lost merchandise in downtown Kampala floods,FAKE,PesaCheck,Fact-Check,English,2025-09-10,17,video businessman ham kiggundu speaking traders lost merchandise downtown kampala floods,0
UG_FAKE_079,FAKE: Uganda’s EC spokesperson did not ask Ugandans to stay at polling stations until votes are counted,FAKE,PesaCheck,Fact-Check,English,2025-10-14,17,fake ugandas ec spokesperson ask ugandans stay polling stations votes counted,0
UG_FAKE_080,This video of Bobi Wine calling for international intervention in Uganda is fake,FAKE,PesaCheck,Fact-Check,English,2025-11-20,13,video bobi wine calling international intervention uganda fake,0
UG_FAKE_081,Uganda’s EC spokesperson did not ask Ugandans to stay at polling stations until votes are countedThe video was created using AI.,FAKE,PesaCheck,Fact-Check,English,2025-10-14,21,ugandas ec spokesperson ask ugandans stay polling stations votes countedthe video created using ai,0
UG_FAKE_082,ALTERED: This purported 7 December 2025 Sunday Monitor cover is edited,FAKE,PesaCheck,Fact-Check,English,2025-12-08,11,altered purported 7 december 2025 sunday monitor cover edited,0
