id,text,label,source,platform_type,language,date_collected
UG_FALSE_200,Ranar Cutar Kansa ta Duniya: Jita-jita biyar da ‘yan Najeriya har yanzu suka yarda da su,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_201,"Image of Pope Leo XIV waving Biafran flag, manipulated",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_202,Social media users share misleading photo of US delivering military supplies in Nigeria,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_203,"New study reveals how Nigeria’s former minister spread falsehoods, misled lawmakers",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_204,Mexican scientists research not universal cure for HPV,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_205,"2027 elections: Footage of crowd queuing for bread in Lagos, not recent",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_206,DUBAWA’s editor elected as member of Africa Facts Advisory Committee,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_207,Misleading narrative links Russian activity in Central African Republic to Nigerian bandits,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_208,"False! No automatic 25% tax on all transactions, as Amaechi claims",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_209,Donald Trump veut acheter le Sénégal ?,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_210,Fausse rumeur relative au décès du président de la République ivoirienne,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_211,Abia government didn’t recently sign Senior Citizens Bill into law,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_212,Round-Up: Top claims verified by DUBAWA this week,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_213,"Claim 300 of 1,000 babies born in The Gambia die, false",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_214,False! Beetroot juice does not kill cancer cells in 42 days,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_215,Five reasons why Africa is central to US “America First” global health strategy,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_216,Misleading news reports claim Ministry of Health received only ₦36m in 2025,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_217,No evidence Gumi suggested Sharia Law as solution to terrorism in Kwara,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_218,False! Grammy not won by Davido,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_219,Rabe-raben Asusun Ba da Lamuni na IMF ya sanya Najeriya a Gaba Wajen ba da Gundunmawa a Mizanin Tattalin Arziki na GDP a Duniya,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_220,"Facebook user shares misleading picture of man, claimed he killed musicians in Lagos’ studio",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_221,"Video showing Donald Trump with Reverend Ezekiel, manipulated",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_222,Qualité du riz produit en Côte d’Ivoire : une publication accuse à tort le créateur de contenu Josiasse Assemon,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_223,Révision de la liste électorale au Sénégal : une annonce infondée relayée sur les réseaux sociaux,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_224,"Oshiomole lied, viral video not AI-generated",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_225,Facebook users take down false posts of Nigeria’s division after DUBAWA’s fact-check,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_226,"Round-Up: Kanu’s honorary citizenship, IShowSpeed tour, other top claims we fact-checked this week",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_227,Was Enugu airport sold as alleged by social media users?,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_228,Has Victor Osimhen been suspended for 25 games for FIFA’s anti-drug violation?,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_229,Video of Nigerians begging for rice dates back to 2023,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_230,Video of Kai Cenat meeting Davido dates back to 2024,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_231,Shin Takardun Epstein sun tabbatar da cewa an aika wani ƙyalle na Ka’aba zuwa ga Jeffrey Epstein?,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_232,"Viral audio claim WhatsApp set to suspend users’ accounts, false",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_233,Unpacking Instagram users’ claims on America&#8217;s first global health strategy,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_234,Breaking down IMF’s ranking of Nigeria as major contributor to world GDP,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_235,World Cancer Day: Five viral cancer myths Nigerians still believe,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_236,"Nipah Virus: What it is, how it spreads, and why it matters",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_237,"Claim Peller visited Ghana to stream with IShowSpeed, false",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_238,False! US honorary citizenship does not give America legal power over Kanu’s case,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_239,VAT on Bank Charges: What you need to know,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_240,"What FG MFBs license upgrade means for OPay, Kuda, others",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_241,"Round-Up: Manchester City jobs, Uba Sani rally, other top claims fact-checked this week",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_242,"False! Liberia’s 2024 Gross International Reserve, not $475 million",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_243,"IShowSpeed is not in Freetown, contrary to viral social media claim",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_244,CJID trains INEC officials ahead of FCT Area Council election,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_245,Misleading! Uba Sani did not hold political rally after Kaduna church abductions,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_246,Tragic migrant boat wreck: DUBAWA explains how wooden boat capsized,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_247,Da’awa guda biyar da ta yi shuhura lokacin da ake tsaka da batun kisan kiyashi ga mabiya addinin Kirista a Najeriya,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_248,Shin da gaske ne birnin New York a karon farko ya cimma nasarar warkar da mai cutar amosanin jini ko sikila?,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_249,"False! Viral photo of Osimhen proposing to Regina Daniels, AI-generated",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_250,Did Trump write to Norway about dissatisfaction over Nobel Peace Prize Award snub?,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_251,"Sperm quality affects fertility and miscarriage risk, not women’s appearance during pregnancy",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_252,"No, Sheikh Gumi did not warn US, Israel against dividing Nigeria",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_253,Nigeria’s tax laws: Where does bank transfer narration stand?,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_254,Cervical Cancer Awareness Month: What every woman should know,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_255,"Traore’s video addressing African youth after Uganda election, AI-generated",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_256,"True, Nigerian passport ranking improved",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_257,"Circulating video of Abia’s rehabilitated bus terminal, AI-generated",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_258,"False! Nigerian actor, Francis Duru has not joined Nigerian Army",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_259,"Video of bandits heading South-East, from Sudan",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_260,Does Nigeria’s lower unemployment rate reflect government economic reforms?,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_261,Misleading! Manchester City did not announce jobs for homeless people,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_262,Weekly round-up: Top six claims verified this week,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_263,DUBAWA’s Copy editor nominated for 2026 Global Journalism Award,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_264,"Applying perfume on your neck does not alter thyroid function, as claimed",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_265,"False, Ishowspeed robbed, attacked in Lagos?",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_266,"Viral Photos of Osimhen, Nicki Minaj, Al-generated",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_267,Unpacking Ooni of Ife’s city of Brampton honour claims,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_268,"News report Seun Okinbaloye detained over controversial interview, false",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_269,"Bidiyon da ake yadawa na gargadin Ministan Tsaro ga gwamnonin jihohi kan sulhu da ’yan ta’adda, ƙirƙirar AI ne",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_270,Unrelated image used to depict  kidnappers arrested after relationship with victim,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_271,"Viral claim CAF suspends Senegal’s coach, Thiaw, false",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_272,La prestation de serment de Mamadi Doumbouya modifiée par l’intelligence artificielle,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_273,Did US lawmaker propose Nigeria’s division as solution to &#8216;Christian genocide?&#8217;,FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_274,"Video of defence minister warning governors over terrorists’ negotiation, AI-generated",FALSE,Dubawa,Website,English,2026-02-19
UG_FALSE_275,FALSE! No Nigerian agency warned of “extreme air pollution” during harmattan,FALSE,Dubawa,Website,English,2026-02-19
