id,text,label,source,platform_type,language,date_collected
UG_TRUE_1309,Government ne Eklezia bakuziimba ekkadiyizo ly’ebikwata ku Kalidinaali Emmanuel Wamala – President Museveni yagenda okubeera omuyima waalyo,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1310,Abaali abakozi b’ekitongole ki Uganda Posta and Telecommunications Corporation ekyasattululwa mu 1997 –  bakyabanja government,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1311,Okujjukira Rev. Eliasaph Sserwadda – president Museveni asabye bannaddiini bakulemberemu kawefube w’okwagazisa abantu enteekateeka za government ez’okubaggya mu bwavu,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1312,Minister wa Kampala ayisizza nsalesale wa wiiki 2 – abatembeeyi bonna abakolera ku nguudo za Kampala bazaamuke,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1313,Parliament eye 11 egenda kuddamu okutuula okukubaganya ebirowoozo ku nnambika y’embalirira y’eggwanga eya 2026/2027,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1314,Kooti eyongezzaayo omusango gw’abasuubuzi abaali bakolera mu ppaaka esaangibwa mu Kitooro Ntebbe – balumiriza abakulira municipality obutabafaako,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1315,Boodi ya Mengo Chamber of Commerce Ltd etongozeddwa – okwongera okusitula eby’obusuubuzi mu Buganda,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1316,Government ya Uganda egumizza bannauganda nti siyakuggyako mayengo ga internet mu kulonda kwa 2026,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1317,Uganda ng’ekolagana ne Saudi Arabia zigenda kuzimba ekkolero e Luweero eryongera omutindo ku mmwanyi  – lyakuwemmenta obuwumbi bwa shs obusoba mu 574,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1318,Government etaddewo obukwakkulizo ku bayingiza mu Uganda ebyuma by’empuliziganya ebya kampuni ya StarLink – ababireeta balina okufuna olukusa okuva eri amagye g’eggwanga,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1319,Government ya Uganda ekoze enteekateeka yakukuηaanya omusolo gwa Trillion 40,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1320,Bannauganda abakolera mu Nyakuron Market mu SouthSudan bali mu maziga olw’emmaali yabwe eyasirikkidde mu muliro,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1321,Omuliro gukutte ekitundu ku katale k’e Nakasero,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1322,Abadde yeyita ssenkulu wa Statehouse investors’ protection Unit akwatiddwa – kigambibwa nti abadde abbye ku bantu ensimbi ezisoba mu buwumbi bwa shs 3,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1323,Government ya Uganda eyagala bamusigansimbi abava mu kyondo kya Buwalabu – okuleeta amakolero mu Uganda agagatta omutindo ku bintu ebiva mu Uganda,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1324,"Government ya Uganda eyagala abakozi 6,858 etandise okuwandiisa abagyetaaga",TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1325,Okulwanyisa kalusu okwetoloola Uganda – district ye Ssembabule efunye ddoozi emitwalo 16,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1326,President Museveni wakukwasizaako abasuubuzi abaakosebwa amataba mu Kampala  sso ssikubaliyirira – Ssaabaminisita Nabbanja abataangaazizza,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1327,Abasuubuzi abaakosebwa amataba mu Kampala bakalambidde bagala KCCA ebaliyirire – abalala baddukidde mu kooti bagala eyimirize Hammis Kiggundu okuziimba ku mwala gwe Nakivubo,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1328,Abaana 4 bafiiridde mu nkuba etonnye mu Kampala – emmaali y’abasuubuzi nayo eyonooneddwa,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
UG_TRUE_1329,President Museveni alonze Lino Anguzu okufuuka Ssaabawaabi w’emisango gya government omuggya,TRUE,CBS FM,traditional_media,Luganda,2026-02-19
