id,text,label,source,platform_type,language,date_collected
UG_TRUE_309,Abatuuze bawambye omusibe ku police nebamutta – abadde ateeberezebwa okutta abafumbo e Kyankwanzi,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_310,Yusuf Nsibambi omubaka wa Mawokota South asuddewo FDC neyesogga NRM – agenda kusakira bantu ba kitundu kye,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_311,Omwana afiiridde mu muliro ogukutte ennyumba e Namugongo – gusanyizaawo n’ebyamaguzi,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_312,Abantu 4 bafiiridde mu kabenje akagudde e Kyazanga – lukululana ebasaabadde,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_313,Abayizi ebitundu 99.7% baayise ebigezo bya S.4 ebya UNEB 2025,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_314,Okusunsula abayizi abagenda okusoma S.1 kutandise – minister Muyingo alabudde amasomero agatunda ebifo,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_315,Brig.Gen. Jackson Pande Kajuba alondeddwa okuduumira enkambi ye Kasijjagirwa – azze mu bigere bya Brig.Gen.Deus Sande eyafudde ekibwatukira,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_316,Police ekutte agambibwa okubeera mu kkobaane ly’okutta manager n’omukuumi wa Devo Suits e Lungujja,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_317,UNEB efunye Boodi empya – essira yakulissa kukwongera okuziba emiwaatwa egy’okubba ebigezo,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_318,Abantu 6 bafiiridde mu kabenje akagudde ku luguudo okuva e Mityana okudda e Mubende,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_319,Abakulembeze ba NUP 4 basimbiddwa mu kooti – bagguddwako gwakukuma muliro mu bantu,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_320,Kasibante Robert yefukuludde ku by’okuwakanya ebyava mu kaluku ka 2026 ak’okulonda president wa Uganda – asabye kooti ensukkulumu omusango aguggyeyo,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_321,Abantu 3 bafiiridde mu kabenje akagudde e Nakaseke – Takisi ebaddemu abasaabaze etomereganye n’emmotoka ebadde etisse emiti,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_322,Ebibuuzo by’abayizi ba Bamure Primary School abaakola PLE mu 2025 ebyali byabula bizuuliddwa,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_323,UNEB eyagala enkola ey’okugaba obubonero mu bibuuzo bya PLE eggyibwewo,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_324,Ebyava mu bibuuzo bya PLE 2025 bifulumye – Minister w’ebyenjigiriza alabudde abasomesa abatayagala kukyuka na nkyukakyuka y’ebisomesebwa nti bawummule obusomesa,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_325,"Ebya PLE bifuluma leero 30 January,2026 – abazadde abataamalayo bisale by’amasomero sibakubirabako",TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_326,Kooti ensukkulumu etandise okuwulira omusango oguwakanya obuwanguzi bwa Yoweri Kaguta Museveni mu kalulu ka 2026 – Robert Kasibante yeyatwalayo omusango,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_327,Police ekutte abantu 5 abateeberezebwa okubbisa emmundu – kigambibwa beebatta eyali ekulira police e Ntaawo Mukono,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_328,Abaana 2 bafiiridde mu muliro e Kabowa,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_329,Ddereeva abadde avuga emisinde mu kibuga wakati – atomedde 3 nabattirawo e Mbale,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_330,Muwanga Kivumbi omubaka w’e Butambala agguddwako omusango gwa butujju,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_331,Abantu 2 bafiiridde mu muliro ogukutte ennyumba e Kikaaya Kawempe,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_332,Parliament esunsudde Ssaabalamuzi omuggya Flavian Zeija,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_333,Omubaka wa Butambala Muwanga Kivumbi akwatiddwa – byekuusa ku busambattuko obwafiiramu abantu mu kulonda kw’e Butambala,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_334,Kooti eyisizza ekirago ky’okuddamu okubala obululu bw’ekifo ky’omubaka wa Kalungu West – Joseph Ssewungu Gonzaga yeyabadde alaangiriddwa ku buwanguzi,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_335,Statehouse Anti Corruption Unit ekutte abakozi ba government abagambibwa okubulankanya ensimbi ezaali ez’okukola oluguudo e Kamuli,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_336,"Geraldine Namirembe Bitamazire eyaliko minister w’ebyenjigiriza aziikibwa nga 21 January,2026",TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_337,"Kooti ensukkulumu egobye omusango gw’okuyimiriza okulonda kwa bonna okugenda okubaawo nga 15 January,2026",TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_338,Abantu 2 bafiiriddewo mbulaga abalala baddusiddwa mu malwaliro – emmotoka zitomereganye bwenyi ku bwenyi e Bukomansimbi,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_339,Police ekoze ekikwekweto ku babbira ku Nothern-bypass – omu akubiddwa amasasi,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_340,Police etandise okunoonyereza ku nfa ya Dr. Patrick Mugizi abadde omusomesa wa MUBS ne Victoria University,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_341,President Museveni ayimirizza eby’okusengula abantu ku ttaka lye Kasokoso – alagidde National Housing enoonye ettaka ewalala,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_342,Abasuze mu kalippagano k’ebidduka akakutte e Mpigi batenda – abamu babalagidde bakozese ekidyeri,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_343,Police eyigga omuzadde agambibwa nti yakkirizza omwana ow’emyaka 6 okuvuga emmotoka – erabudde abavuga ebidduka nga tebalina bisaanyizo batwalibwa mu kkooti butereevu,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_344,Obutabanguko mu maka – Omusajja ateeberezebwa okutta mukyalawe lwabutafumba mmere ya Ssekukkulu,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_345,President Museveni ayimirizza ekibinja ky’amagye ekibadde kirwanyisa envuba embi ku nnyanja – alagidde watondebwewo obukiiko obuggya obutuulako abavubi ku myalo egyenjawulo,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_346,Omumyuka wa president Maj.Jesca Alupo takyalina amuvuganya ku kifo ky’omubaka wa parliament omukyala owa district ye Katakwi,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_347,Omulangira Nakibinge asoomozezza abasirikale bakendeeze obukambwe baleke bannauganda balonde abakulembeze mu mirembe – abadde akyazizza Kyagulanyi Ssentamu,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_348,Kooti enywezezza ekya Mathias Walukagga okugobwa mu lwokaano lw’okuvuganya ng’omubaka wa parliament owa Busiro East mu kalulu akajja 2026 –  ebiwandiiko by’obuyigirize ebyessalira tebinawera,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_349,Abantu 2 bafiiridde mu kabenje akagudde e Nabusanke ku lw’e Masaka – abalala bamenyese,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_350,Eklezia ezzeemu okuziika eyali Ssaabasumba Joseph Kiwanuka Nakabaale mu lutikko e Lubaga,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_351,"Kooti etaddewo olwanga 22 December,2025 okuwa ensala ku by’okugoba Mathias Walukagga mu lwokaano lw’okuvuganya ng’omubaka wa Busiro East",TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_352,Ssentebe wa district ye Kitagwenda asindiikiddwa ku alimanda okutuusa omwaka ogujja 2026 – avunaanibwa gwakusaba bantu ensimbi ng’abasuubizza emirimu naatagibawa,TRUE,CBS FM,traditional_media,luganda,2026-02-19
UG_TRUE_353,Abantu 10 bafiiridde mu kabenje akagudde e Busowa ku luguudo lwa Bugiri – Tororo,TRUE,CBS FM,traditional_media,luganda,2026-02-19
