title,language
Abatuuze bawambye omusibe ku police nebamutta – abadde ateeberezebwa okutta abafumbo e Kyankwanzi,luganda
Yusuf Nsibambi omubaka wa Mawokota South asuddewo FDC neyesogga NRM – agenda kusakira bantu ba kitundu kye,luganda
Omwana afiiridde mu muliro ogukutte ennyumba e Namugongo – gusanyizaawo n’ebyamaguzi,luganda
Abantu 4 bafiiridde mu kabenje akagudde e Kyazanga – lukululana ebasaabadde,luganda
Abayizi ebitundu 99.7% baayise ebigezo bya S.4 ebya UNEB 2025,luganda
Okusunsula abayizi abagenda okusoma S.1 kutandise – minister Muyingo alabudde amasomero agatunda ebifo,luganda
Brig.Gen. Jackson Pande Kajuba alondeddwa okuduumira enkambi ye Kasijjagirwa – azze mu bigere bya Brig.Gen.Deus Sande eyafudde ekibwatukira,luganda
Police ekutte agambibwa okubeera mu kkobaane ly’okutta manager n’omukuumi wa Devo Suits e Lungujja,luganda
UNEB efunye Boodi empya – essira yakulissa kukwongera okuziba emiwaatwa egy’okubba ebigezo,luganda
Abantu 6 bafiiridde mu kabenje akagudde ku luguudo okuva e Mityana okudda e Mubende,luganda
Abakulembeze ba NUP 4 basimbiddwa mu kooti – bagguddwako gwakukuma muliro mu bantu,luganda
Kasibante Robert yefukuludde ku by’okuwakanya ebyava mu kaluku ka 2026 ak’okulonda president wa Uganda – asabye kooti ensukkulumu omusango aguggyeyo,luganda
Abantu 3 bafiiridde mu kabenje akagudde e Nakaseke – Takisi ebaddemu abasaabaze etomereganye n’emmotoka ebadde etisse emiti,luganda
Ebibuuzo by’abayizi ba Bamure Primary School abaakola PLE mu 2025 ebyali byabula bizuuliddwa,luganda
UNEB eyagala enkola ey’okugaba obubonero mu bibuuzo bya PLE eggyibwewo,luganda
Ebyava mu bibuuzo bya PLE 2025 bifulumye – Minister w’ebyenjigiriza alabudde abasomesa abatayagala kukyuka na nkyukakyuka y’ebisomesebwa nti bawummule obusomesa,luganda
"Ebya PLE bifuluma leero 30 January,2026 – abazadde abataamalayo bisale by’amasomero sibakubirabako",luganda
Kooti ensukkulumu etandise okuwulira omusango oguwakanya obuwanguzi bwa Yoweri Kaguta Museveni mu kalulu ka 2026 – Robert Kasibante yeyatwalayo omusango,luganda
Police ekutte abantu 5 abateeberezebwa okubbisa emmundu – kigambibwa beebatta eyali ekulira police e Ntaawo Mukono,luganda
Abaana 2 bafiiridde mu muliro e Kabowa,luganda
Ddereeva abadde avuga emisinde mu kibuga wakati – atomedde 3 nabattirawo e Mbale,luganda
Muwanga Kivumbi omubaka w’e Butambala agguddwako omusango gwa butujju,luganda
Abantu 2 bafiiridde mu muliro ogukutte ennyumba e Kikaaya Kawempe,luganda
Parliament esunsudde Ssaabalamuzi omuggya Flavian Zeija,luganda
Omubaka wa Butambala Muwanga Kivumbi akwatiddwa – byekuusa ku busambattuko obwafiiramu abantu mu kulonda kw’e Butambala,luganda
Kooti eyisizza ekirago ky’okuddamu okubala obululu bw’ekifo ky’omubaka wa Kalungu West – Joseph Ssewungu Gonzaga yeyabadde alaangiriddwa ku buwanguzi,luganda
Statehouse Anti Corruption Unit ekutte abakozi ba government abagambibwa okubulankanya ensimbi ezaali ez’okukola oluguudo e Kamuli,luganda
"Geraldine Namirembe Bitamazire eyaliko minister w’ebyenjigiriza aziikibwa nga 21 January,2026",luganda
